id,label,description,url,x,y,weight,cluster
111,islam (2012),"<table><tr><td>Authors:</td><td>islam, mr; khan, i; attia, j; hassan, smn; mcevoy, m; d'este, c; azim, s; akhter, a; akter, s; shahidullah, sm; milton, ah</td></tr><tr><td>Title:</td><td>association between hypertension and chronic arsenic exposure in drinking water: a cross-sectional study in bangladesh</td></tr><tr><td>Source:</td><td>international journal of environmental research and public health</td></tr><tr><td>Volume:</td><td>9</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>4522-4536</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1007/s00244-012-9810-3,1.1407,-0.0095,1,1
112,ghosh (2012),"<table><tr><td>Authors:</td><td>ghosh, a; awal, ma; majumder, s; mostofa, m; khair, a; islam, mz; rao, dr</td></tr><tr><td>Title:</td><td>arsenic in eggs and excreta of laying hens in bangladesh: a preliminary study</td></tr><tr><td>Source:</td><td>journal of health population and nutrition</td></tr><tr><td>Volume:</td><td>30</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>383-393</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1289/ehp.1205381,0.2959,0.4134,1,3
113,kippler (2012),"<table><tr><td>Authors:</td><td>kippler, m; wagatsuma, y; rahman, a; nermell, b; persson, la; raqib, r; vahter, m</td></tr><tr><td>Title:</td><td>environmental exposure to arsenic and cadmium during pregnancy and fetal size: a longitudinal study in rural bangladesh</td></tr><tr><td>Source:</td><td>reproductive toxicology</td></tr><tr><td>Volume:</td><td>34</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>504-511</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.3390/ijerph9124522,1.6358,-0.0182,1,1
114,chervona (2012),"<table><tr><td>Authors:</td><td>chervona, y; hall, mn; arita, a; wu, f; sun, h; tseng, hc; ali, e; uddin, mn; liu, xh; zoroddu, ma; gamble, mv; costa, m</td></tr><tr><td>Title:</td><td>associations between arsenic exposure and global posttranslational histone modifications among adults in bangladesh</td></tr><tr><td>Source:</td><td>cancer epidemiology biomarkers & prevention</td></tr><tr><td>Volume:</td><td>21</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>2252-2260</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",,1.2901,-0.0093,1,1
115,melkonian (2012),"<table><tr><td>Authors:</td><td>melkonian, s; argos, m; chen, y; parvez, f; pierce, b; ahmed, a; islam, t; ahsan, h</td></tr><tr><td>Title:</td><td>intakes of several nutrients are associated with incidence of arsenic-related keratotic skin lesions in bangladesh</td></tr><tr><td>Source:</td><td>journal of nutrition</td></tr><tr><td>Volume:</td><td>142</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>2128-2134</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.reprotox.2012.08.002,1.2512,0.1108,1,1
116,jessen (2012),"<table><tr><td>Authors:</td><td>jessen, s; postma, d; larsen, f; nhan, pq; hoa, lq; pham, tkt; long, tv; viet, ph; jakobsen, r</td></tr><tr><td>Title:</td><td>surface complexation modeling of groundwater arsenic mobility: results of a forced gradient experiment in a red river flood plain aquifer, vietnam</td></tr><tr><td>Source:</td><td>geochimica et cosmochimica acta</td></tr><tr><td>Volume:</td><td>98</td></tr><tr><td>Pages:</td><td>186-201</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1158/1055-9965.epi-12-0833,-1.0439,-0.1759,1,2
117,slyemi (2012),"<table><tr><td>Authors:</td><td>slyemi, d; bonnefoy, v</td></tr><tr><td>Title:</td><td>how prokaryotes deal with arsenic</td></tr><tr><td>Source:</td><td>environmental microbiology reports</td></tr><tr><td>Volume:</td><td>4</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>571-586</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.3945/jn.112.165720,-0.5687,0.2883,1,3
118,flanagan (2012),"<table><tr><td>Authors:</td><td>flanagan, sv; johnston, rb; zheng, y</td></tr><tr><td>Title:</td><td>arsenic in tube well water in bangladesh: health and economic impacts and implications for arsenic mitigation</td></tr><tr><td>Source:</td><td>bulletin of the world health organization</td></tr><tr><td>Volume:</td><td>90</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>839-846</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.gca.2012.07.014,0.9802,-0.6582,1,4
119,george (2012),"<table><tr><td>Authors:</td><td>george, cm; zheng, y; graziano, jh; bin rasul, s; hossain, z; mey, jl; van geen, a</td></tr><tr><td>Title:</td><td>evaluation of an arsenic test kit for rapid well screening in bangladesh</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>20</td></tr><tr><td>Pages:</td><td>11213-11219</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1111/j.1758-2229.2011.00300.x,0.4031,-0.3301,1,4
120,mcarthur (2012),"<table><tr><td>Authors:</td><td>mcarthur, jm; sikdar, pk; hoque, ma; ghosal, u</td></tr><tr><td>Title:</td><td>waste-water impacts on groundwater: cl/br ratios and implications for arsenic pollution of groundwater in the bengal basin and red river basin, vietnam</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>437</td></tr><tr><td>Pages:</td><td>390-402</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.2471/blt.11.101253,-0.4476,-0.3758,1,2
121,reza (2012),"<table><tr><td>Authors:</td><td>reza, ahms; jean, js</td></tr><tr><td>Title:</td><td>vertical distribution and mobilization of arsenic in shallow alluvial aquifers of chapai-nawabganj district, northwestern bangladesh</td></tr><tr><td>Source:</td><td>journal of the geological society of india</td></tr><tr><td>Volume:</td><td>80</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>531-538</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es300253p,-1.0624,-0.3408,1,2
122,ahmed (2012),"<table><tr><td>Authors:</td><td>ahmed, s; bin ahsan, k; kippler, m; mily, a; wagatsuma, y; hoque, amw; ngom, pt; el arifeen, s; raqib, r; vahter, m</td></tr><tr><td>Title:</td><td>in utero arsenic exposure is associated with impaired thymic function in newborns possibly via oxidative stress and apoptosis</td></tr><tr><td>Source:</td><td>toxicological sciences</td></tr><tr><td>Volume:</td><td>129</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>305-314</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2012.07.068,1.6511,-0.0448,1,1
123,syed (2012),"<table><tr><td>Authors:</td><td>syed, eh; poudel, kc; sakisaka, k; yasuoka, j; ahsan, h; jimba, m</td></tr><tr><td>Title:</td><td>quality of life and mental health status of arsenic-affected patients in a bangladeshi population</td></tr><tr><td>Source:</td><td>journal of health population and nutrition</td></tr><tr><td>Volume:</td><td>30</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>262-269</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",,0.6871,-0.1435,1,1
124,anawar (2012),"<table><tr><td>Authors:</td><td>anawar, hm; garcia-sanchez, a; hossain, mn; akter, s</td></tr><tr><td>Title:</td><td>evaluation of health risk and arsenic levels in vegetables sold in markets of dhaka (bangladesh) and salamanca (spain) by hydride generation atomic absorption spectroscopy</td></tr><tr><td>Source:</td><td>bulletin of environmental contamination and toxicology</td></tr><tr><td>Volume:</td><td>89</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>620-625</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1093/toxsci/kfs202,-0.1064,0.6182,1,3
125,hossain (2012),"<table><tr><td>Authors:</td><td>hossain, m; williams, pn; mestrot, a; norton, gj; deacon, cm; meharg, aa</td></tr><tr><td>Title:</td><td>spatial heterogeneity and kinetic regulation of arsenic dynamics in mangrove sediments: the sundarbans, bangladesh</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>16</td></tr><tr><td>Pages:</td><td>8645-8652</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",,-1.0913,0.1936,1,3
126,yokoyama (2012),"<table><tr><td>Authors:</td><td>yokoyama, y; tanaka, k; takahashi, y</td></tr><tr><td>Title:</td><td>differences in the immobilization of arsenite and arsenate by calcite</td></tr><tr><td>Source:</td><td>geochimica et cosmochimica acta</td></tr><tr><td>Volume:</td><td>91</td></tr><tr><td>Pages:</td><td>202-219</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1007/s00128-012-0692-x,-1.0025,-0.1083,1,2
127,saha (2012),"<table><tr><td>Authors:</td><td>saha, kk; engstrom, a; hamadani, jd; tofail, f; rasmussen, km; vahter, m</td></tr><tr><td>Title:</td><td>pre- and postnatal arsenic exposure and body size to 2 years of age: a cohort study in rural bangladesh</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Volume:</td><td>120</td></tr><tr><td>Issue:</td><td>8</td></tr><tr><td>Pages:</td><td>1208-1214</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es301328r,1.3409,-0.1322,1,1
128,mondal (2012),"<table><tr><td>Authors:</td><td>mondal, b; chatterjee, d; bhattacharyya, m</td></tr><tr><td>Title:</td><td>structure-function alteration of hemoglobin in arsenicosis patients: a probable pathway to exert toxicity</td></tr><tr><td>Source:</td><td>journal of applied toxicology</td></tr><tr><td>Volume:</td><td>32</td></tr><tr><td>Issue:</td><td>8</td></tr><tr><td>Pages:</td><td>581-589</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.gca.2012.05.022,0.6554,0.2089,1,1
129,gardner (2012),"<table><tr><td>Authors:</td><td>gardner, rm; engstrom, k; bottai, m; hoque, wam; raqib, r; broberg, k; vahter, m</td></tr><tr><td>Title:</td><td>pregnancy and the methyltransferase genotype independently influence the arsenic methylation phenotype</td></tr><tr><td>Source:</td><td>pharmacogenetics and genomics</td></tr><tr><td>Volume:</td><td>22</td></tr><tr><td>Issue:</td><td>7</td></tr><tr><td>Pages:</td><td>508-516</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1289/ehp.1003378,1.6178,0.0828,1,1
130,rahman (2012),"<table><tr><td>Authors:</td><td>rahman, m; haq, n; williams, id</td></tr><tr><td>Title:</td><td>genetic effect on phytoaccumulation of arsenic in brassica juncea l</td></tr><tr><td>Source:</td><td>euphytica</td></tr><tr><td>Volume:</td><td>186</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>409-417</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1002/jat.1656,-0.712,0.3556,1,3
131,george (2012),"<table><tr><td>Authors:</td><td>george, cm; van geen, a; slavkovich, v; singha, a; levy, d; islam, t; ahmed, km; moon-howard, j; tarozzi, a; liu, xh; factor-litvak, p; graziano, j</td></tr><tr><td>Title:</td><td>a cluster-based randomized controlled trial promoting community participation in arsenic mitigation efforts in bangladesh</td></tr><tr><td>Source:</td><td>environmental health</td></tr><tr><td>Volume:</td><td>11</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1097/fpc.0b013e3283535d6a,0.6723,-0.2525,1,1
132,wu (2012),"<table><tr><td>Authors:</td><td>wu, f; jasmine, f; kibriya, mg; liu, ml; wojcik, o; parvez, f; rahaman, r; roy, s; paul-brutus, r; segers, s; slavkovich, v; islam, t; levy, d; mey, jl; van geen, a; graziano, jh; ahsan, h; chen, y</td></tr><tr><td>Title:</td><td>association between arsenic exposure from drinking water and plasma levels of cardiovascular markers</td></tr><tr><td>Source:</td><td>american journal of epidemiology</td></tr><tr><td>Volume:</td><td>175</td></tr><tr><td>Issue:</td><td>12</td></tr><tr><td>Pages:</td><td>1252-1261</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1007/s10681-012-0632-1,1.2689,-0.0587,1,1
133,hoque (2012),"<table><tr><td>Authors:</td><td>hoque, ma; burgess, wg</td></tr><tr><td>Title:</td><td>c-14 dating of deep groundwater in the bengal aquifer system, bangladesh: implications for aquifer anisotropy, recharge sources and sustainability</td></tr><tr><td>Source:</td><td>journal of hydrology</td></tr><tr><td>Volume:</td><td>444</td></tr><tr><td>Pages:</td><td>209-220</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1186/1476-069x-11-41,-0.736,-0.4175,1,2
134,islam (2012),"<table><tr><td>Authors:</td><td>islam, mr; khan, i; hassan, smn; mcevoy, m; d'este, c; attia, j; peel, r; sultana, m; akter, s; milton, ah</td></tr><tr><td>Title:</td><td>association between type 2 diabetes and chronic arsenic exposure in drinking water: a cross sectional study in bangladesh</td></tr><tr><td>Source:</td><td>environmental health</td></tr><tr><td>Volume:</td><td>11</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1093/aje/kwr464,1.1451,-0.0075,1,1
135,yajima (2012),"<table><tr><td>Authors:</td><td>yajima, i; uemura, n; nizam, s; khalequzzaman, m; thang, nd; kumasaka, my; akhand, aa; shekhar, hu; nakajima, t; kato, m</td></tr><tr><td>Title:</td><td>barium inhibits arsenic-mediated apoptotic cell death in human squamous cell carcinoma cells</td></tr><tr><td>Source:</td><td>archives of toxicology</td></tr><tr><td>Volume:</td><td>86</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>961-973</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.jhydrol.2012.04.022,0.3168,0.2271,1,1
136,talukder (2012),"<table><tr><td>Authors:</td><td>talukder, asmhm; meisner, ca; sarkar, mar; islam, ms; sayre, kd; duxbury, jm; lauren, jg</td></tr><tr><td>Title:</td><td>effect of water management, arsenic and phosphorus levels on rice in a high-arsenic soil-water system: ii. arsenic uptake</td></tr><tr><td>Source:</td><td>ecotoxicology and environmental safety</td></tr><tr><td>Volume:</td><td>80</td></tr><tr><td>Pages:</td><td>145-151</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1186/1476-069x-11-38,-0.5851,0.7181,1,3
137,pilsner (2012),"<table><tr><td>Authors:</td><td>pilsner, jr; hall, mn; liu, xh; ilievski, v; slavkovich, v; levy, d; factor-litvak, p; yunus, m; rahman, m; graziano, jh; gamble, mv</td></tr><tr><td>Title:</td><td>influence of prenatal arsenic exposure and newborn sex on global methylation of cord blood dna</td></tr><tr><td>Source:</td><td>plos one</td></tr><tr><td>Volume:</td><td>7</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1007/s00204-012-0848-9,1.2101,0.0077,1,1
138,pesola (2012),"<table><tr><td>Authors:</td><td>pesola, gr; parvez, f; chen, y; ahmed, a; hasan, r; ahsan, h</td></tr><tr><td>Title:</td><td>arsenic exposure from drinking water and dyspnoea risk in araihazar, bangladesh: a population-based study</td></tr><tr><td>Source:</td><td>european respiratory journal</td></tr><tr><td>Volume:</td><td>39</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>1076-1083</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.ecoenv.2012.02.020,0.9726,-0.0844,1,1
139,rodrigues (2012),"<table><tr><td>Authors:</td><td>rodrigues, eg; kile, m; hoffman, e; quamruzzaman, q; rahman, m; mahiuddin, g; hsueh, y; christiani, dc</td></tr><tr><td>Title:</td><td>gsto and as3mt genetic polymorphisms and differences in urinary arsenic concentrations among residents in bangladesh</td></tr><tr><td>Source:</td><td>biomarkers</td></tr><tr><td>Volume:</td><td>17</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>240-247</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1371/journal.pone.0037147,1.3623,0.2091,1,1
140,sarker (2012),"<table><tr><td>Authors:</td><td>sarker, mmr</td></tr><tr><td>Title:</td><td>spatial modeling of households' knowledge about arsenic pollution in bangladesh</td></tr><tr><td>Source:</td><td>social science & medicine</td></tr><tr><td>Volume:</td><td>74</td></tr><tr><td>Issue:</td><td>8</td></tr><tr><td>Pages:</td><td>1232-1239</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1183/09031936.00042611,0.3328,-0.1825,1,4
141,siegfried (2012),"<table><tr><td>Authors:</td><td>siegfried, k; endes, c; bhuiyan, afmk; kuppardt, a; mattusch, j; van der meer, jr; chatzinotas, a; harms, h</td></tr><tr><td>Title:</td><td>field testing of arsenic in groundwater samples of bangladesh using a test kit based on lyophilized bioreporter bacteria</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>3281-3287</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.3109/1354750x.2012.658863,-0.0611,0.0248,1,3
142,hitchcock (2012),"<table><tr><td>Authors:</td><td>hitchcock, ap; obst, m; wang, j; lu, ys; tyliszczak, t</td></tr><tr><td>Title:</td><td>advances in the detection of as in environmental samples using low energy x-ray fluorescence in a scanning transmission x-ray microscope: arsenic immobilization by an fe(ii)-oxidizing freshwater bacteria</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>2821-2829</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.socscimed.2011.11.025,-0.7976,0.0769,1,2
143,hossain (2012),"<table><tr><td>Authors:</td><td>hossain, e; islam, k; yeasmin, f; karim, mr; rahman, m; agarwal, s; hossain, s; aziz, a; al mamun, a; sheikh, a; haque, a; hossain, mt; hossain, m; harris, pi; ikemura, n; inoue, k; miyataka, h; himeno, s; hossain, k</td></tr><tr><td>Title:</td><td>elevated levels of plasma big endothelin-1 and its relation to hypertension and skin lesions in individuals exposed to arsenic</td></tr><tr><td>Source:</td><td>toxicology and applied pharmacology</td></tr><tr><td>Volume:</td><td>259</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>187-194</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es203511k,0.5644,-0.0277,1,1
144,george (2012),"<table><tr><td>Authors:</td><td>george, cm; graziano, jh; mey, jl; van geen, a</td></tr><tr><td>Title:</td><td>impact on arsenic exposure of a growing proportion of untested wells in bangladesh</td></tr><tr><td>Source:</td><td>environmental health</td></tr><tr><td>Volume:</td><td>11</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es202238k,0.6399,-0.2876,1,1
145,jung (2012),"<table><tr><td>Authors:</td><td>jung, hb; bostick, bc; zheng, y</td></tr><tr><td>Title:</td><td>field, experimental, and modeling study of arsenic partitioning across a redox transition in a bangladesh aquifer</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>1388-1395</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1016/j.taap.2011.12.023,-0.8977,-0.1517,1,2
146,merrill (2012),"<table><tr><td>Authors:</td><td>merrill, rd; shamim, aa; ali, h; johan, n; labrique, ab; christian, p; west, kp</td></tr><tr><td>Title:</td><td>groundwater iron assessment and consumption by women in rural northwestern bangladesh</td></tr><tr><td>Source:</td><td>international journal for vitamin and nutrition research</td></tr><tr><td>Volume:</td><td>82</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>5-14</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1186/1476-069x-11-7,0.7275,-0.0097,1,1
147,pierce (2012),"<table><tr><td>Authors:</td><td>pierce, bl; kibriya, mg; tong, l; jasmine, f; argos, m; roy, s; paul-brutus, r; rahaman, r; rakibuz-zaman, m; parvez, f; ahmed, a; quasem, i; hore, sk; alam, s; islam, t; slavkovich, v; gamble, mv; yunus, m; rahman, m; baron, ja; graziano, jh; ahsan, h</td></tr><tr><td>Title:</td><td>genome-wide association study identifies chromosome 10q24.32 variants associated with arsenic metabolism and toxicity phenotypes in bangladesh</td></tr><tr><td>Source:</td><td>plos genetics</td></tr><tr><td>Volume:</td><td>8</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es2032967,1.2231,0.0153,1,1
148,kippler (2012),"<table><tr><td>Authors:</td><td>kippler, m; tofail, f; gardner, r; rahman, a; hamadani, jd; bottai, m; vahter, m</td></tr><tr><td>Title:</td><td>maternal cadmium exposure during pregnancy and size at birth: a prospective cohort study</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Volume:</td><td>120</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>284-289</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1024/0300-9831/a000089,1.7315,0.001,1,1
149,norton (2012),"<table><tr><td>Authors:</td><td>norton, gj; pinson, srm; alexander, j; mckay, s; hansen, h; duan, gl; islam, mr; islam, s; stroud, jl; zhao, fj; mcgrath, sp; zhu, yg; lahner, b; yakubova, e; guerinot, ml; tarpley, l; eizenga, gc; salt, de; meharg, aa; price, ah</td></tr><tr><td>Title:</td><td>variation in grain arsenic assessed in a diverse panel of rice (oryza sativa) grown in multiple sites</td></tr><tr><td>Source:</td><td>new phytologist</td></tr><tr><td>Volume:</td><td>193</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>650-664</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1371/journal.pgen.1002522,-0.3266,0.78,1,3
150,van genuchten (2012),"<table><tr><td>Authors:</td><td>van genuchten, cm; addy, sea; pena, j; gadgil, aj</td></tr><tr><td>Title:</td><td>removing arsenic from synthetic groundwater with iron electrocoagulation: an fe and as k-edge exafs study</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>986-994</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1289/ehp.1103711,-1.0234,-0.0003,1,2
151,biswas (2012),"<table><tr><td>Authors:</td><td>biswas, a; nath, b; bhattacharya, p; halder, d; kundu, ak; mandal, u; mukherjee, a; chatterjee, d; jacks, g</td></tr><tr><td>Title:</td><td>testing tubewell platform color as a rapid screening tool for arsenic and manganese in drinking water wells</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>434-440</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1111/j.1469-8137.2011.03983.x,-0.1862,-0.3458,1,2
152,hasan (2012),"<table><tr><td>Authors:</td><td>hasan, mm; shafiquzzaman, m; nakajima, j; bari, qh</td></tr><tr><td>Title:</td><td>application of a simple arsenic removal filter in a rural area of bangladesh</td></tr><tr><td>Source:</td><td>water science and technology-water supply</td></tr><tr><td>Volume:</td><td>12</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>658-665</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es201913a,-0.4707,0.0505,1,2
153,figoli (2012),"<table><tr><td>Authors:</td><td>figoli, a; criscuoli, a; hoinkis, j; drioli, e</td></tr><tr><td>Title:</td><td>arsenic removal by traditional and innovative membrane technologies</td></tr><tr><td>Source:</td><td>metals and related substances in drinking water</td></tr><tr><td>Pages:</td><td>129-134</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1021/es203058a,-0.7496,0.2171,1,2
154,masuda (2012),"<table><tr><td>Authors:</td><td>masuda, h; shinoda, k; okudaira, t; takahashi, y; noguchi, n</td></tr><tr><td>Title:</td><td>chlorite-source of arsenic groundwater pollution in the holocene aquifer of bangladesh</td></tr><tr><td>Source:</td><td>geochemical journal</td></tr><tr><td>Volume:</td><td>46</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>381-391</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.2166/ws.2012.039,-1.0868,-0.3517,1,2
155,ghosh (2012),"<table><tr><td>Authors:</td><td>ghosh, a; awal, ma; majumder, s; sikder, mh; rao, dr</td></tr><tr><td>Title:</td><td>arsenic residues in broiler meat and excreta at arsenic prone areas of bangladesh</td></tr><tr><td>Source:</td><td>bangladesh journal of pharmacology</td></tr><tr><td>Volume:</td><td>7</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>178-185</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",,0.3483,0.4464,1,3
156,sarkar (2012),"<table><tr><td>Authors:</td><td>sarkar, s; greenleaf, je; gupta, a; uy, d; sengupta, ak</td></tr><tr><td>Title:</td><td>sustainable engineered processes to mitigate the global arsenic crisis in drinkingwater: challenges and progress</td></tr><tr><td>Source:</td><td>annual review of chemical and biomolecular engineering, vol 3</td></tr><tr><td>Volume:</td><td>3</td></tr><tr><td>Pages:</td><td>497-517</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",,-0.7246,-0.0499,1,2
157,sultana (2012),"<table><tr><td>Authors:</td><td>sultana, f</td></tr><tr><td>Title:</td><td>producing contaminated citizens: toward a nature-society geography of health and well-being</td></tr><tr><td>Source:</td><td>annals of the association of american geographers</td></tr><tr><td>Volume:</td><td>102</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>1165-1172</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.3329/bjp.v7i3.11435,0.1463,-0.5085,1,4
158,merrill (2012),"<table><tr><td>Authors:</td><td>merrill, rd; shamim, aa; ali, h; labrique, ab; schulze, k; christian, p; west, kp</td></tr><tr><td>Title:</td><td>high prevalence of anemia with lack of iron deficiency among women in rural bangladesh: a role for thalassemia and iron in groundwater</td></tr><tr><td>Source:</td><td>asia pacific journal of clinical nutrition</td></tr><tr><td>Volume:</td><td>21</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>416-424</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1146/annurev-chembioeng-062011-081101,1.1694,0.0146,1,1
159,bacquart (2012),"<table><tr><td>Authors:</td><td>bacquart, t; bradshaw, k; frisbie, s; mitchell, e; springston, g; defelice, j; dustin, h; sarkar, b</td></tr><tr><td>Title:</td><td>a survey of arsenic, manganese, boron, thorium, and other toxic metals in the groundwater of a west bengal, india neighbourhood</td></tr><tr><td>Source:</td><td>metallomics</td></tr><tr><td>Volume:</td><td>4</td></tr><tr><td>Issue:</td><td>7</td></tr><tr><td>Pages:</td><td>653-659</td></tr><tr><td>Year:</td><td>2012</td></tr></table>",http://dx.doi.org/10.1080/00045608.2012.671127,0.26,-0.1989,1,1
